Timestamp,Image,Max Temp (°C),Ambient Temp (°C),Label,Label Temp (°C),Irradiance (W/m²),Temp Difference (°C),Label Temp Anomaly,Thermal Efficiency,Max Temp Anomaly
2023-01-01 09:00:00,FLIR0235,33.8,36.1,pFH,24.5,800,2.3000000000000043,True,4.225,False
2023-01-01 10:00:00,FLIR0232,33.8,36.2,or in,24.8,810,2.4000000000000057,True,4.172839506172839,False
2023-01-01 11:00:00,FLIR0228,34.1,36.5,OFMR,26.5,830,2.3999999999999986,True,4.1084337349397595,False
2023-01-01 12:00:00,FLIR0234,33.9,36.2,orange,24.6,820,2.3000000000000043,True,4.134146341463414,False
2023-01-01 13:00:00,FLIR0229,33.9,36.4,FLIR,25.8,840,2.5,True,4.035714285714286,False
2023-01-01 14:00:00,FLIR0231,34.4,36.5,None,24.6,850,2.1000000000000014,True,4.047058823529412,False
2023-01-01 15:00:00,FLIR0233,34.1,36.4,orur,25.7,835,2.299999999999997,True,4.083832335329342,False
2023-01-01 16:00:00,FLIR0230,34.6,36.4,OFLITs,24.5,860,1.7999999999999972,True,4.023255813953488,True
2023-01-01 17:00:00,FLIR0236,34.0,36.5,None,24.7,845,2.5,True,4.023668639053255,False
